FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Redable
592a584827e16c741f94e986a526b5179ad65dda.yml,198,0.3068783068783068,0.0,0.5714285714285714,0.0555555555555555,1.238095238095238,12.0,0.0959595959595959,0.0454545454545454,5.070707070707071,0.5291005291005291,29.77777777777778,0.7301587301587301,0.3703703703703703,37.706896551724135,8.015151515151516,18,3,18,390,23,372,11,159,1
6a208489ef1a07b02552b32c676ff50ac27d076d.yml,167,0.3333333333333333,0.0,0.610062893081761,0.0538922155688622,1.270440251572327,12.0,0.1137724550898203,0.0359281437125748,4.047904191616767,0.5723270440251572,30.652694610778443,0.8050314465408805,0.3396226415094339,39.75,6.700598802395209,18,3,8,390,23,302,11,159,0
01faf65972f0181ade5df274dd8f3fa15eab0fc7.yml,260,0.3248945147679324,0.023076923076923,0.5316455696202531,0.073076923076923,1.459915611814346,8.366666666666667,0.123076923076923,0.048,5.84,0.4526748971193415,30.23846153846154,0.7763713080168776,0.4092827004219409,42.61538461538461,8.796875,18,3,14,390,23,489,16,391,1
c86c3dc6352339c1a5744649d48fe989dafe062b.yml,231,0.357487922705314,0.0259740259740259,0.5748792270531401,0.0865800865800865,1.6618357487922706,10.173913043478262,0.1082251082251082,0.0678733031674208,5.049773755656108,0.4976525821596244,33.103896103896105,0.8599033816425121,0.463768115942029,42.07954545454545,8.422907488986784,18,3,14,390,23,472,14,159,0
9135705bb81df0b529821a121004c41f176995ff.yml,157,0.2620689655172414,0.0764331210191082,0.7379310344827587,0.0,0.5586206896551724,7.64,0.2420382165605095,0.0,4.662068965517242,0.6815286624203821,15.439490445859873,0.4413793103448276,0.1103448275862069,0.0,5.203821656050955,10,4,10,79,7,222,19,0,1
347a240489fdda506ccc6a6f1676e876cdb5602b.yml,157,0.2620689655172414,0.0764331210191082,0.7379310344827587,0.0,0.5586206896551724,7.64,0.2420382165605095,0.0,4.662068965517242,0.6815286624203821,15.420382165605096,0.4413793103448276,0.1103448275862069,0.0,5.203821656050955,10,4,10,79,7,223,19,0,0
0603ea338245876d18343c52ded8675fc6f8ede8.yml,208,0.4705882352941176,0.173076923076923,0.6050420168067226,0.2548076923076923,0.8151260504201681,8.6875,0.1538461538461538,0.0303030303030303,5.636363636363637,0.4580645161290322,21.822115384615383,0.4705882352941176,0.1176470588235294,29.166666666666668,7.169154228855722,18,2,22,80,7,144,16,83,1
2bd893f9319e2f496066f0c156338195a8464086.yml,209,0.4615384615384615,0.1866028708133971,0.6068376068376068,0.2535885167464115,0.7863247863247863,8.6875,0.1531100478468899,0.0245398773006134,5.625766871165644,0.4487179487179487,21.440191387559807,0.2991452991452991,0.0854700854700854,30.272727272727277,7.03960396039604,18,2,22,80,7,144,14,83,0
2fec4f00a8641f103664e1612517b452774179e4.yml,35,0.217391304347826,0.1428571428571428,0.391304347826087,0.2,1.4782608695652173,8.5,0.0571428571428571,0.0,3.4782608695652173,0.3214285714285714,21.914285714285715,0.3043478260869565,0.0,31.363636363636363,4.428571428571429,13,1,8,68,6,34,1,69,1
b7d2ea0264591b61c876e1d5be7efbe28d1f0b84.yml,34,0.25,0.1470588235294117,0.4,0.2647058823529412,1.6,8.5,0.0588235294117647,0.0,3.0,0.32,24.647058823529413,0.35,0.0,34.0,4.08,13,2,8,68,6,32,1,69,0
