repo,before,after,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
Vinelab/NeoEloquent,8cdf77954ca17d7f50ad8dd9ccbfcf78d39ba7e1,677e72328a4e9abeeca2f597d0e5327c1975689b,3.0,-0.01339285714285715,-0.010616784630940346,0.022321428571428548,-0.009100101112234582,-0.17946428571428563,0.0,-0.004550050556117291,0.0,0.02564102564102555,0.0,0.12032355915065907,-0.1741071428571429,-0.005357142857142859,-2.3739495798319297,0.5247724974721941,0.0,0.0,0.0,-17.0,0.0,7.0,-4.0,-13.0
jgraph/drawio-desktop,0ede809db1e3a44d818e12a2186c2e38d29c05c9,299f4c35d1e581614c7dcd2ad5024cf175e9937a,-1.0,0.0,0.003628447024673437,0.0,-0.018142235123367198,0.0,0.0,0.0010885341074020338,0.0,0.052264808362369575,0.0,-1.1904934687953563,0.0,0.0,0.0,0.025263951734540324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cytopia/devilbox,bd05fae22f2e91267e3e16d2dea19d3e695630dc,34652dc563b9f5f246426cd9e6c92dba61a356cc,-3.0,0.06356589147286822,-0.020512820512820523,-0.04341085271317824,-0.028205128205128216,0.06304909560723515,0.0,0.0015384615384615372,0.04,0.11058823529411765,0.0,-0.46564102564102683,-0.002067183462532318,0.1829457364341085,1.4437500000000014,0.6349206349206349,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0
moneymanagerex/moneymanagerex,ccb3248a07426e95e76ee424cbd6052e0b0a5e1c,cf99bf9d021a3846b5c5156fd02a616a9b9185d3,-2.0,-0.023659997079012673,0.0004368083867210201,-0.022345552796845358,0.006794797126771501,-0.001971666423251084,0.05706558485463198,-0.0058726460881382,0.0002239641657334826,-0.005599104143337197,-0.0009196006305832727,-0.2303436225975517,-0.061340733167810746,-0.01507959690375349,0.0,-0.06815804912889334,0.0,0.0,0.0,0.0,0.0,-6.0,-2.0,0.0
roundcube/roundcubemail,5defccb9194d8d051c528c2c39efece0f13d78ee,7abd4f2c154364c0d1a36225b503fc380afd283e,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.7105263157894726,0.0,0.0,0.0,0.05263157894736903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsyslog/rsyslog,28b720505bfaa2189669ee5a73cdea4476155ba5,fc2fe71f6a29fdbbd76e2987cd69bb310f4a5978,-9.0,0.0,-0.012223071046600448,0.0,-0.05137509549274255,0.0,0.0,0.008594346829640956,0.020527859237536666,0.19912023460410566,0.017210144927536253,-7.277501909854848,0.0,0.0,0.0,0.6607142857142856,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
rapidftr/RapidFTR,95a320b04872da85d734f26ac7fd757296607f7c,240e29d8a61e16dfc2d3f20dea1b37c5bd9b06d2,5.0,-0.04895104895104896,0.006079027355623101,-0.04895104895104896,-0.035460992907801414,-0.04195804195804198,0.0,-0.015197568389057753,0.0,0.125,-0.009740259740259771,-0.9650455927051667,-0.003496503496503489,-0.11188811188811187,0.0,-0.04675716440422306,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ushahidi/SMSSync,b167b1bf7bed4d217ef803766e565102a6d77c19,cead1abf04bb508f3bdf96bce785cef273caf953,-3.0,0.033333333333333354,0.026086956521739146,0.09999999999999998,0.006521739130434787,-0.6333333333333331,0.0,0.0,0.0,-0.10855263157894735,0.06459330143540665,-3.4173913043478237,0.04444444444444451,0.0888888888888889,-2.471428571428568,-0.7043478260869565,0.0,0.0,0.0,-8.0,0.0,-15.0,0.0,-15.0
bjorn/tiled,6c6d5006d5def1a98c00d3a7d7c65516027fa899,a95f2454b16048a5bd2b98548cfbfa290768ee8f,1.0,-0.0011461823311585267,-0.0003881384878124533,0.0037912184799858695,-0.00015525539512498132,-0.010580144595309537,0.0,-0.00031051079024996264,-0.00025484199796126095,0.0330445124023111,0.004021879021879005,-0.06318894581586676,-0.01031564098042681,-0.001410685946041268,0.0,0.02515137401024603,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
swagger-api/swagger-parser,c94e0efdff61c49b3b22bc18ca2682589208002e,608261409332be3c6135a8e9168db4fd784229d7,-4.0,0.0,0.0,0.17094017094017094,0.0,0.17094017094017094,0.0,0.0,-0.04273504273504275,-1.6752136752136753,0.17094017094017094,0.5726495726495706,0.03418803418803418,0.1367521367521367,10.095238095238091,-1.5641025641025643,0.0,0.0,-2.0,2.0,0.0,-4.0,0.0,6.0
CleverRaven/Cataclysm-DDA,ed6d26250570a60b8ea0bc2cda6cdc44a978815d,b4590218e8d7c0c5845777480118ce51aff9991c,0.0,0.0,0.0,-0.03311258278145701,0.0,-0.1258278145695364,0.0,0.0,0.0,0.0,0.0,-1.1745283018867951,-0.19867549668874163,0.0,0.0,-0.09947643979057563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
immerjs/immer,7f8670164122081e036038f2ccd0ff1308582429,af17663d3cef8e39cea32da9aa66c4870f141714,-2.0,0.020202020202020193,0.0,0.12121212121212122,0.0,-0.12121212121212122,0.0,0.020202020202020193,0.0,0.29292929292929293,0.12121212121212122,1.545454545454545,0.020202020202020193,0.0,-9.0,0.41414141414141414,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,-9.0
hfp/libxsmm,371f4d3d54d878525879e28bf1f59a1fea569925,6e6f70672a9b336ece30f8b7c7cb94d23959b84b,1.0,0.0,-0.006153846153846149,-0.012987012987012991,0.0,0.03463203463203457,0.0,0.0,0.0,-0.02164502164502169,-0.009230769230769209,0.24153846153846104,-0.004329004329004321,0.0,0.16666666666666607,0.0476923076923077,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
dropwizard/dropwizard,06e33c4080e96af387f6eb4c1587bd7832c36458,de1f90311d272c9c8876d50ca284b3bc62e8da99,2.0,-0.0055440055440055536,0.0,0.011088011088011052,-0.006201550387596899,-0.03465003465003458,0.0,-0.005167958656330754,0.0,0.06098406098406084,0.011088011088011052,-0.8124031007751924,-0.15800415800415823,0.0,0.0,0.042966042966043005,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ispc/ispc,fe1d9f5a3f69346b3c84ad705e2e9e26a799b9cc,c7d6650951fb9a6f8f878fe2202cefe5854f94f4,8.0,-0.07159090909090904,-0.012788906009244982,0.06903409090909096,-0.029583975346687164,-0.15227272727272734,0.0,-0.011093990755007693,-0.008430913348946141,2.568618266978923,0.08064516129032256,-1.7844375963020056,-0.24545454545454537,-0.03068181818181817,0.0,2.6269349845201244,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
collectiveidea/delayed_job_active_record,87a00ac265e3918332f9cfba7fd0fb256658994b,a21e589486184c94719f61d54d8b844dde6ab1ee,16.0,-0.0030877192982456114,-0.0029705268043629628,0.04175438596491221,0.01072174518449756,0.042105263157894646,0.0,-0.002227895103272221,0.0,0.07377974000490539,0.04276704769412687,1.0188906938964948,0.2559999999999998,0.0,0.0,0.14045022046878675,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0
