FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Readable
68a7e4f030210dcca69d0d89814f638c58ec8afd.yml,84,0.3424657534246575,0.11904761904761904,0.3424657534246575,0.023809523809523808,1.1369863013698631,14.578947368421053,0.2261904761904762,0.0684931506849315,3.041095890410959,0.27710843373493976,22.821428571428573,1.2054794520547945,0.1917808219178082,39.925925925925924,4.445783132530121,23,1,10,114,35,103,7,127,0.0
5783cb5193295ef04836a37610a6d1404644f55f.yml,8,0,0.25,0.5,0,1.8333333333333333,0,0,0,0,0.375,17.375,0,0,36.666666666666664,2.0,0,0,0,40,0,14,0,44,0.0
48599f5e94f2f986439e944345c7c43b6158e13f.yml,133,1.0625,0.08270676691729323,0.29464285714285715,0.08270676691729323,1.8571428571428572,30.896551724137932,0.21804511278195488,0.2396694214876033,1.9173553719008265,0.2682926829268293,52.34586466165413,1.75,0.5357142857142857,125.5,5.5,45,1,6,691,92,403,2,176,0.0
171651796ed9164a608acf26bc915c39c0022c3d.yml,76,0.3283582089552239,0.07894736842105263,0.8208955223880597,0.039473684210526314,1.3134328358208955,5.416666666666667,0.17105263157894737,0.014285714285714285,7.3428571428571425,0.7534246575342466,20.56578947368421,0.9701492537313433,0.08955223880597014,36.416666666666664,8.973684210526315,10,2,14,99,15,144,11,101,0.0
68a8095cb50db530ec1c1fb5216d8e8b6229c975.yml,34,0.44,0.23529411764705882,0.48,0.029411764705882353,0.56,15.5,0.3235294117647059,0,2.4615384615384617,0.36363636363636365,17.794117647058822,1.24,0,33.8,2.7058823529411766,20,2,6,62,7,30,1,62,0.0
026100eedc29df889b23896ceb7b1c23a87d6f72.yml,43,0.2222222222222222,0.023255813953488372,0.5277777777777778,0.13953488372093023,2.6666666666666665,10.0,0.09302325581395349,0,1.2380952380952381,0.43243243243243246,52.093023255813954,3.6666666666666665,0.2777777777777778,65.5,5.348837209302325,10,1,2,694,106,104,4,271,0.0
5676c19a6c0c71feba9553073d1ee9fc15964be9.yml,74,0.14583333333333334,0.16216216216216217,0.3958333333333333,0.25675675675675674,1.3333333333333333,5.0,0.02702702702702703,0,1.6491228070175439,0.3,29.16216216216216,0.3958333333333333,0.041666666666666664,40.130434782608695,3.753623188405797,5,1,4,160,7,86,1,136,0.0
b11c5e9c0138ac80738dc2a16cc0ee3155e8bc4e.yml,47,0.3235294117647059,0.23404255319148937,0.38235294117647056,0.0425531914893617,1.1470588235294117,7.9,0.2127659574468085,0,1.9444444444444444,0.28888888888888886,14.27659574468085,0.4117647058823529,0,38.57142857142857,2.7872340425531914,18,1,4,60,2,43,8,67,0.0
c5d2424b7a0de55dc2e842b34bd8e29b8af1a8b8.yml,34,0.5925925925925926,0.20588235294117646,0.7037037037037037,0,0.5555555555555556,6.0,0.23529411764705882,0,2.2222222222222223,0.5588235294117647,13.029411764705882,1.8518518518518519,0,41.0,2.7941176470588234,6,1,5,37,4,26,9,41,0.0
282eef3aab8131f59d2b2ae4385f50e23849ecbe.yml,162,0.2204724409448819,0.1419753086419753,0.5590551181102362,0.07407407407407407,1.2913385826771653,22.083333333333332,0.08024691358024691,0.03597122302158273,11.352517985611511,0.47333333333333333,27.54320987654321,0.7795275590551181,0.15748031496062992,62.81395348837209,12.975308641975309,38,3,20,179,36,300,6,158,0.0
96169cfc24eeebaa944b507f5b60ba1c7103fb89.yml,76,0.3,0.15789473684210525,0.55,0.05263157894736842,1.0666666666666667,6.0,0.19736842105263158,0,1.7741935483870968,0.4583333333333333,17.855263157894736,1.4166666666666667,0.03333333333333333,19.53846153846154,2.608108108108108,6,1,4,181,31,71,17,39,0.0
30aea40e441e30c2412da7f4b865b8b957d810d7.yml,66,0.43636363636363634,0.16666666666666666,0.7636363636363637,0,1.4545454545454546,14.909090909090908,0.16666666666666666,0.12962962962962962,2.690909090909091,0.5303030303030303,23.545454545454547,1.2363636363636363,0.7272727272727273,97.36363636363636,4.742424242424242,15,1,6,164,5,99,13,189,0.0
55fafd020dbf659f7b5b0460e695812ff00cc1de.yml,16,0.14285714285714285,0.125,0.7142857142857143,0.0625,0.5714285714285714,0,0,0,1.1428571428571428,0.5,16.0,0.9285714285714286,0,32.4,2.875,0,0,2,62,3,25,0,69,0.0
bc9cdc0bed786f20cd6de77effd45e06ab5fd920.yml,50,0.32558139534883723,0.14,0.627906976744186,0,0.9302325581395349,18.0,0.18,0.09302325581395349,4.325581395348837,0.54,19.3,0.46511627906976744,0.5116279069767442,65.625,5.58,18,1,10,105,2,55,13,115,0.0
aa60cffe852b02823f128b87368920aa8e8c8490.yml,55,0.5111111111111111,0.14545454545454545,0.7777777777777778,0.09090909090909091,1.2222222222222223,4.25,0.2545454545454545,0.1276595744680851,2.6382978723404253,0.6037735849056604,32.85454545454545,2.3333333333333335,0.4444444444444444,58.4,5.090909090909091,8,5,6,182,36,73,5,116,0.0
193bc89a49be803f52822f816954fa4ce769a20f.yml,448,0.3160377358490566,0.03125,0.6344339622641509,0.03125,1.0353773584905661,10.220338983050848,0.25892857142857145,0.00234192037470726,7.058548009367682,0.6027397260273972,22.120535714285715,0.47641509433962265,0.2028301886792453,29.0,8.387755102040817,17,3,12,149,12,617,38,100,0.0
1e1884352213bef9afb935ac31d6eaa1a8960225.yml,250,0.2545454545454545,0.112,0.7090909090909091,0.008,1.3454545454545455,7.878787878787879,0.132,0,6.972972972972973,0.6290322580645161,16.468,0.6590909090909091,0.36363636363636365,42.61538461538461,7.252,10,1,10,90,6,296,29,92,0.0
a67cb58e000e9c26086d68b7ffbaefd6d668a042.yml,300,0.3229166666666667,0.15666666666666668,0.18229166666666666,0.20333333333333334,0.7395833333333334,2.0,0.03666666666666667,0.07258064516129033,5.645161290322581,0.12133891213389121,23.47,0.4270833333333333,0.2708333333333333,26.59748427672956,7.589830508474576,2,3,16,142,12,261,9,149,0.0
