Delta,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
49de9e8f9509c8a804610876c2522d757b821798.yml => 0c45ada6555890ac510560dd0ae92a7a2206356b.yml,-4,-0.004834980029430308,0.003654970760233911,0.016396888795459308,0.0007309941520467003,-0.0010510826150935682,0.25,-0.005116959064327409,0.0,-0.02438511667017007,0.012426900584795342,0.15204678362573176,-0.021231868824889533,0.0,0.0,-0.03874269005847886,0,0,0,0,0,-4,0,0
d733d3b3f01f11ee28cbc10d59451ccd9f2b0651.yml => 9d0f24e18953b18b74b4bfa33027a25d7d790d89.yml,0,0.0,0.0,0.0,0.0,-0.09302325581395365,0.0,0.0,0.0,0.0,0.0,-0.13725490196078916,0.0,0.0,-1.5555555555555607,0.0,0,0,0,0,0,2,0,-7
9b043590fd45e2a5cd12c6b604a28eb38d9c5c2c.yml => 3e1ed284527d2f1c23e136f9e6635f88d80121a6.yml,0,0.0,0.0,0.0,0.0,-0.09302325581395365,0.0,0.0,0.0,0.0,0.0,-0.13725490196078916,0.0,0.0,-1.5555555555555607,0.0,0,0,0,0,0,2,0,-7
27a46c906de3ed756b91cb59a1b148e8b84b5cbe.yml => a2ce05a23c08fd3c1ef0b82e9d55838436025873.yml,0,0.0,0.0,0.0,0.0,-0.09302325581395365,0.0,0.0,0.0,0.0,0.0,-0.13725490196078916,0.0,0.0,-1.5555555555555607,0.0,0,0,0,0,0,2,0,-7
4bf66ccc4d1d028d468cade7a7b3be989c5b9a4a.yml => 2446de599acb77500a7f99c2d822357edbccd23a.yml,6,0.12418300653594769,0.0,-0.36601307189542487,-0.1944444444444445,-1.418300653594771,-0.75,0.19444444444444448,0.0,0.6666666666666666,-0.36601307189542487,-24.97222222222222,-0.1568627450980392,-0.261437908496732,-41.14285714285715,-0.5833333333333335,1,1,0,-253,0,-4,-3,-42
31197094d96590b158fb78ed54290e3016f5e19e.yml => 22aa2eac4b288546ec66ff7cab3bbfd1688aa158.yml,-3,-0.027272727272727303,0.009538950715421296,0.030303030303030276,-0.027027027027027,-0.051515151515151514,0.0,0.0,0.0,0.006060606060605878,0.04769475357710651,0.6033386327503933,0.19393939393939386,0.012121212121212102,3.5,-0.2678855325914151,0,0,0,0,0,-6,0,0
118995e291e5eda07a3c835d5dd5c318aaf647ff.yml => b9ca706d4a8f63147c152a2a57b5637a7b3c6fe4.yml,-4,-0.2222222222222222,-0.1,0.11111111111111105,0.0,-2.444444444444444,0.0,0.0,0.0,0.0,0.2666666666666666,-29.866666666666674,-1.0,-1.3333333333333333,-102.5,-1.9666666666666663,0,0,0,-147,-6,-15,0,-219
ee3191cfbfbb3ab3de47428197e6b4720f4d1152.yml => afb9c0236a945a860c5e85746113d66774bf5d1d.yml,-1,0.0,0.013071895424836583,0.04395604395604402,0.0,-0.03846153846153849,0.0,0.0,0.0,-0.08791208791208782,0.026143790849673165,-0.4901960784313726,0.010989010989011005,0.010989010989011005,-0.6666666666666661,-0.196078431372549,0,0,0,-4,0,-2,0,-4
f764a13c6383b92520231ba3570d23b27489b58c.yml => dde35e6060d0b532d483b14b3de14c56f356c801.yml,1,-0.004615384615384702,-0.005040322580645101,-0.018461538461538474,-0.0010080645161289967,-0.0061538461538463984,0.0,-0.0020161290322579933,0.0,0.02153846153846173,-0.012903225806451646,0.02318548387096797,-0.06307692307692303,-0.009230769230769292,-1.018181818181823,0.033333333333333215,0,0,0,0,0,0,0,0
6598917674f0ade0c4e92e8887332adbc0b73f46.yml => 7bf4491d87cff7bd6842f1d6455d40272db7799b.yml,-1,0.0021645021645022022,0.0,0.03896103896103886,0.0,-0.03246753246753248,-8.0,-0.0454545454545454,0.0,-0.17316017316017351,0.03896103896103886,0.5367965367965386,0.008658008658008615,0.0,0.0,-0.13852813852813783,-8,-1,-2,0,0,-1,-1,0
